gran,n_b,m_b,work,aspect,cost_A_outer_s,cost_B_outer_s,flip,orientation_speedup
medium,1253,623,780619,2.0112359550561796,8792.0,8440.32,True,1.0416666666666667
medium,1250,614,767500,2.035830618892508,8792.0,8440.32,True,1.0416666666666667
medium,1248,612,763776,2.0392156862745097,8440.32,8440.32,False,1.0
medium,1247,612,763164,2.037581699346405,8440.32,8440.32,False,1.0
medium,1246,596,742616,2.0906040268456376,8440.32,8088.64,True,1.0434782608695652
medium,1244,610,758840,2.039344262295082,8440.32,8440.32,False,1.0
medium,1243,586,728398,2.121160409556314,8440.32,8088.64,True,1.0434782608695652
medium,1233,584,720072,2.1113013698630136,8088.64,8088.64,False,1.0
medium,1231,594,731214,2.0723905723905722,8088.64,8088.64,False,1.0
medium,1229,613,753377,2.00489396411093,8440.32,8440.32,False,1.0
medium,1229,609,748461,2.0180623973727423,8440.32,8440.32,False,1.0
medium,1228,613,752764,2.0032626427406197,8440.32,8440.32,False,1.0
medium,1223,600,733800,2.0383333333333336,8088.64,8440.32,False,1.0434782608695652
medium,1222,607,741754,2.013179571663921,8440.32,8440.32,False,1.0
medium,1218,598,728364,2.036789297658863,8088.64,8088.64,False,1.0
medium,1207,588,709716,2.052721088435374,8088.64,8088.64,False,1.0
medium,1203,592,712176,2.0320945945945947,8088.64,8088.64,False,1.0
medium,1200,588,705600,2.0408163265306123,8088.64,8088.64,False,1.0
medium,1200,557,668400,2.154398563734291,7385.28,7736.96,False,1.0476190476190477
medium,1190,575,684250,2.0695652173913044,7736.96,8088.64,False,1.0454545454545454
medium,1186,584,692624,2.030821917808219,7736.96,8088.64,False,1.0454545454545454
medium,1183,586,693238,2.0187713310580206,7736.96,8088.64,False,1.0454545454545454
medium,1178,570,671460,2.066666666666667,7736.96,7736.96,False,1.0
medium,1172,566,663352,2.070671378091873,7385.28,7736.96,False,1.0476190476190477
medium,1166,571,665786,2.042031523642732,7385.28,7385.28,False,1.0
medium,1165,571,665215,2.040280210157618,7385.28,7385.28,False,1.0
medium,1164,566,658824,2.056537102473498,7385.28,7385.28,False,1.0
medium,1162,559,649558,2.07871198568873,7385.28,7033.6,True,1.0499999999999998
medium,1161,558,647838,2.0806451612903225,7385.28,7033.6,True,1.0499999999999998
medium,1158,575,665850,2.013913043478261,7385.28,7385.28,False,1.0
medium,1156,572,661232,2.020979020979021,7385.28,7385.28,False,1.0
medium,1148,567,650916,2.0246913580246915,7385.28,7385.28,False,1.0
medium,1145,571,653795,2.0052539404553413,7385.28,7385.28,False,1.0
medium,1135,537,609495,2.1135940409683425,6681.92,7033.6,False,1.0526315789473684
medium,1135,543,616305,2.0902394106813995,6681.92,7033.6,False,1.0526315789473684
medium,1134,543,615762,2.088397790055249,6681.92,7033.6,False,1.0526315789473684
medium,1131,561,634491,2.016042780748663,7033.6,7385.28,False,1.0499999999999998
medium,1128,543,612504,2.0773480662983426,6681.92,7033.6,False,1.0526315789473684
medium,1128,562,633936,2.00711743772242,7033.6,7385.28,False,1.0499999999999998
medium,1124,556,624944,2.0215827338129495,7033.6,7033.6,False,1.0
medium,1121,544,609824,2.0606617647058822,6681.92,7033.6,False,1.0526315789473684
medium,1120,521,583520,2.1497120921305184,6681.92,6681.92,False,1.0
medium,1113,555,617715,2.0054054054054054,7033.6,7033.6,False,1.0
medium,1112,526,584912,2.1140684410646386,6330.24,6681.92,False,1.0555555555555556
medium,1110,550,610500,2.018181818181818,7033.6,7033.6,False,1.0
medium,1108,546,604968,2.029304029304029,6681.92,7033.6,False,1.0526315789473684
medium,1108,550,609400,2.0145454545454546,7033.6,7033.6,False,1.0
medium,1107,551,609957,2.0090744101633393,7033.6,7033.6,False,1.0
medium,1107,545,603315,2.0311926605504587,6681.92,7033.6,False,1.0526315789473684
medium,1107,549,607743,2.0163934426229506,7033.6,7033.6,False,1.0
